trip_id,waktu,latitude,longitude,kecepatan_kmh,jarak_km
1,"2025-03-03 05:22:00",-6.121775,106.893649,32,0.26671
1,"2025-03-03 05:22:30",-6.119009,106.893461,37,0.30825
1,"2025-03-03 05:23:00",-6.117017,106.89303,34.6,0.28819
1,"2025-03-03 05:23:30",-6.119548,106.893137,33.8,0.28166
1,"2025-03-03 05:24:00",-6.122566,106.893265,40.3,0.33591
1,"2025-03-03 05:24:30",-6.125543,106.89339,39.8,0.3314
1,"2025-03-03 05:25:00",-6.128557,106.893518,40.2,0.33539
1,"2025-03-03 05:25:30",-6.13121,106.892568,40.9,0.34067
1,"2025-03-03 05:26:00",-6.130277,106.890266,33.5,0.27943
1,"2025-03-03 05:26:30",-6.128789,106.887951,36.6,0.30478
1,"2025-03-03 05:27:00",-6.127566,106.885894,31.9,0.26575
1,"2025-03-03 05:27:30",-6.126377,106.882831,43.6,0.3636
1,"2025-03-03 05:28:00",-6.125872,106.880305,34.2,0.28496
1,"2025-03-03 05:28:30",-6.125331,106.877599,36.6,0.30507
1,"2025-03-03 05:29:00",-6.124741,106.874649,39.9,0.33277
1,"2025-03-03 05:29:30",-6.124085,106.871371,44.4,0.36967
1,"2025-03-03 05:30:00",-6.123605,106.868969,32.5,0.27086
1,"2025-03-03 05:30:30",-6.123013,106.866007,40.1,0.334
1,"2025-03-03 05:31:00",-6.122536,106.863622,32.3,0.26898
1,"2025-03-03 05:31:30",-6.122226,106.860363,44.2,0.3682
1,"2025-03-03 05:32:00",-6.123003,106.857932,34,0.28354
1,"2025-03-03 05:32:30",-6.12397,106.855768,31.5,0.26224
1,"2025-03-03 05:33:00",-6.125278,106.852842,42.6,0.3547
1,"2025-03-03 05:33:30",-6.12619,106.850003,39.6,0.33022
1,"2025-03-03 05:34:00",-6.126722,106.84764,32.2,0.26796
1,"2025-03-03 05:34:30",-6.127358,106.844757,39.2,0.32652
1,"2025-03-03 05:35:00",-6.128096,106.841884,39.4,0.32822
1,"2025-03-03 05:35:30",-6.128906,106.838781,42.6,0.35505
1,"2025-03-03 05:36:00",-6.129349,106.836314,33.3,0.27713
1,"2025-03-03 05:36:30",-6.129832,106.833622,36.3,0.3024
